,整數數字
,966
一壽街,189
一德街,904
一江街,967
三元街,965
三合段,965
三合街一段,965
三合街二段,965
三民路,965
三水街,965
三玉段一小段,965
三玉段三小段,965
三玉段二小段,965
三玉段五小段,965
三玉段四小段,965
三福街,965
三興段一小段,965
三興段三小段,965
三興段二小段,965
三重路,965
下崙路,965
下樹林街,965
中南段一小段,965
中南段三小段,965
中南段二小段,720
中南段五小段,789
中南段四小段,191
中南街,372
中原街,1083
中和街,806
中和街錫安,1174
中坡北路,447
中坡南路,646
中央北路一段,765
中央北路三段,969
中央北路二段,395
中央北路四段,669
中央南路一段,294
中央南路二段,383
中山北路,113
中山北路一段,1229
中山北路七段,439
中山北路三段,773
中山北路二段,491
中山北路二段與中山北路二段,1154
中山北路五段,1154
中山北路六段,1144
中山段一小段,175
中山段三小段,382
中山段二小段,792
中山路,295
中崙路,367
中庸一路,119
中庸五路,682
中心街,8
中正段一小段,31
中正段三小段,118
中正街,415
中正路,185
中洲段,32
中社路一段,974
中社路二段,119
中華街,417
中華路一段,169
中華路二段,841
丹陽街,841
久康街,841
五分街,841
五原路,837
五常街,837
仁愛段一小段,538
仁愛段三小段,725
仁愛段二小段,350
仁愛段五小段,82
仁愛段六小段,1086
仁愛段四小段,1088
仁愛路一段,6
仁愛路三段,407
仁愛路二段,825
仁愛路四段,857
仙岩路,796
仰德大道一段,92
仰德大道三段,573
仰德大道四段,708
伊寧街,1234
伊通街,1076
保儀路,447
保安街,1076
信安街,1000
信義段一小段,1137
信義段二小段,608
信義路,383
信義路三段,442
信義路二段,111
信義路五段,792
信義路六段,608
信義路四段,43
信陽街,403
倫等街,534
健康路,440
光復北路,1145
光復南路,112
光明路,482
光華段一小段,1160
光華段三小段,491
光華段二小段,1168
光華段四小段,113
光華路,384
光輝路,416
克強路,143
內江街,588
內湖路一段,1054
內湖路三段,117
內湖路二段,663
八仙段一小段,443
八仙段二小段,365
八德路一段,682
八德路三段,181
八德路二段,291
八德路四段,1207
公園段一小段,1147
公園段二小段,71
公園路,397
公訓段二小段,385
公館街,480
公館路,101
前港街,536
前街,34
劍潭路,451
力行段三小段,41
力行街,825
北安段一小段,389
北安段三小段,128
北安段二小段,242
北安段四小段,892
北安路,1121
北寧路,496
北平東路,763
北投路一段,213
北投路二段,587
南京東路一段,828
南京東路三段,94
南京東路二段,142
南京東路五段,608
南京東路六段,608
南京東路四段,608
南京西路,141
南寧路,1183
南昌路一段,1183
南昌路二段,1183
南海段一小段,1183
南海段三小段,1183
南海段二小段,1183
南海段五小段,533
南海路,546
南深路,28
南港段一小段,608
南港段三小段,820
南港段二小段,1119
南港段四小段,608
南港路一段,43
南港路三段,613
南港路二段,1024
南陽街,265
博嘉段三小段,1024
博嘉段四小段,575
博愛路,901
合江街,303
合順街,188
吉利街,72
吉林段一小段,79
吉林段三小段,93
吉林段二小段,199
吉林段五小段,292
吉林段四小段,1118
吉林路,636
吉祥路,169
同安街,46
同德街,41
同德路,890
向陽段,763
向陽路,1066
吳興段一小段,518
吳興段三小段,178
吳興段二小段,1206
吳興街,890
和平東路一段,756
和平東路三段,693
和平東路二段,693
和平東路四段,839
和平西路一段,59
和平西路三段,0
和平西路二段,185
和興路,1140
和豐街,365
哈密街,613
嘉興街,666
嘉興街及信安街,281
四平街,113
四維路,1146
國興路,1146
園,1146
圓環段一小段,383
圓環段三小段,395
圓環段二小段,135
城中段一小段,668
城中段三小段,1229
城中段二小段,175
基河路,1229
基湖路,1161
基隆路,69
基隆路一段,1145
基隆路三段,1160
基隆路二段,1134
堤頂大道一段,369
堤頂大道二段,315
塔城街,736
塔悠路,1174
士商路,1132
士東路,1070
大亨路,191
大佳段二小段,710
大北路,904
大南路,966
大同段一小段,1105
大同段二小段,1037
大同街,967
大埔街,1105
大安段一小段,1105
大安段三小段,1105
大安段二小段,1105
大安路一段,1105
大安路二段,1105
大屯段一小段,1105
大屯段三小段,1105
大屯段二小段,1105
大屯段四小段,1105
大屯路,1105
大屯路光華一,710
大屯路光華四,427
大度路三段,192
大度路怡和,582
大東路,378
大業段一小段,1070
大業段三小段,1070
大業段二小段,991
大業段四小段,1171
大業路,805
大湖山莊街,615
大湖段一小段,200
大湖段三小段,769
大湖段二小段,1094
大湖段四小段,78
大湖街,608
大理街,608
大直街,281
大興街,613
大西路,395
大豐段一小段,534
大豐段三小段,144
大豐段二小段,1145
大道路,253
大龍段一小段,384
大龍段三小段,1145
大龍段二小段,40
大龍街,43
天山段一小段,1224
天山段二小段,135
天母北路,383
天母東路,800
天母段一小段,142
天母段三小段,113
天母段二小段,112
天母段四小段,546
天母西路,546
天水路,395
天津街,1161
天玉段一小段,442
天玉段三小段,364
天玉段二小段,119
天玉街,682
天祥路,473
太原路,100
奇岩段一小段,211
奇岩段三小段,959
奇岩段五小段,673
奇岩路,37
學府段一小段,343
學府段三小段,496
學府段二小段,29
學府段四小段,1087
安和路一段,756
安和路二段,397
安居街,96
安康段,96
安康路,417
安東街,399
安泰街,77
安西街,1149
宜山路,710
富安段一小段,560
富安段三小段,558
富安段二小段,708
富山路,560
富康街,903
富德段一小段,146
富德段二小段,353
富民路,326
富貴一路,411
富錦街,209
富陽街,613
實踐段一小段,608
實踐段三小段,43
實踐段二小段,43
實踐街,613
寧夏路,483
寧安街,405
寧波東街,297
寧波西街,533
寶清段一小段,1199
寶清段三小段,613
寶清段二小段,1106
寶清段五小段,534
寶清段六小段,167
寶清段四小段,666
寶清街,666
寶興街,276
尊賢街,1229
小北街,383
小東街,95
小西街,185
峨眉街,674
崇仁路一段,119
崇仰一路,828
崇仰七路,213
崇仰三路,415
崇仰二路,1140
崇仰五路,1140
崇仰段三小段,1140
崇仰段二小段,1140
崇仰段四小段,1140
崇實路,415
崇德街,95
崗山路,415
師大路,416
平等段一小段,856
平等段三小段,143
平等段二小段,185
平菁街,451
平陽街,451
幸福街,269
幽雅路,327
庫倫街,114
康定路,300
康寧段一小段,931
康寧段三小段,330
康寧段二小段,292
康寧段四小段,775
康寧路一段,386
康寧路三段,1143
康樂街,417
廈門街,101
廣州街,1118
延吉段一小段,1118
延吉段三小段,922
延吉街,79
延壽段一小段,187
延壽街,96
延平北路,1181
延平北路一段,867
延平北路七段,41
延平北路三段,256
延平北路二段,867
延平北路二段及歸綏街,346
延平北路五段,784
延平北路八段,143
延平北路六段,1140
延平北路四段,94
延平南路,682
延平段一小段,261
延平段三小段,316
延平段二小段,415
建國北路一段,588
建國北路三段,143
建國北路二段,101
建國南路一段,135
建國南路二段,613
建業路,613
建民路,441
後港街,666
後街,43
徐州路,175
復興一路,792
復興三路,792
復興二路,1160
復興北路,1164
復興南路一段,535
復興南路二段,928
復興四路,767
復興段一小段,1211
復興段三小段,1070
復興段二小段,1070
德惠段三小段,1070
德惠段二小段,1070
德惠段四小段,1070
德惠街,676
德昌街,560
德行東路,966
德行西路,869
志成街,566
忠勇街,957
忠孝東路一段,413
忠孝東路七段,1207
忠孝東路三段,385
忠孝東路二段,635
忠孝東路五段,188
忠孝東路六段,485
忠孝東路四段,376
忠孝西路一段,848
忠孝西路二段,6
忠義街,408
忠誠路一段,41
忠誠路二段,269
忠順街一段,755
忠順街二段,474
思源街,145
恆光街,211
惠安街,100
惠民街,117
愛國東路,94
愛國西路,898
慶城街,143
懷寧街,156
懷德街,906
懷生段一小段,1234
懷生段三小段,672
懷生段二小段,17
成功段一小段,754
成功路一段,300
成功路三段,218
成功路二段,218
成功路五段,112
成功路四段,113
成福路,666
成都路,483
承德路一段,491
承德路七段,491
承德路三段,666
承德路二段,626
承德路五段,111
承德路六段,626
承德路四段,360
指南段一小段,608
指南段二小段,1055
指南段四小段,1161
指南路,1055
指南路一段,198
指南路三段,1106
指南路二段,1168
振興段一小段,638
振興段三小段,167
振興段四小段,482
振興街,534
撫遠街,175
撫順街,534
政大一街,491
政大三街,608
政大二街,440
政大段一小段,440
政大段三小段,440
政大段二小段,440
政大段四小段,440
故宮路,1171
敦化北路,617
敦化南路一段,64
敦化南路二段,64
敦化段一小段,362
敦化段三小段,444
敦化段二小段,1070
敦化段四小段,807
敦南街,767
敦煌路,465
敬業一路,20
敬業三路,901
敬業二路,149
文化三路,900
文德段一小段,193
文德段三小段,20
文德段二小段,869
文德段五小段,967
文德段四小段,550
文德路,966
文昌段一小段,966
文昌段二小段,965
文昌街,467
文昌路,563
文林北路,967
文林北路與文承路,15
文林段一小段,1021
文林段三小段,966
文林段五小段,965
文林段四小段,566
文林路,900
文林路一段,560
文湖街,1085
斯福路三段,190
新,1105
新中街,560
新光段一小段,1100
新光段三小段,465
新光段二小段,560
新光路一段,869
新園街,807
新安段一小段,807
新安段三小段,807
新安段二小段,807
新安段五小段,807
新安段四小段,807
新安路,807
新富街,807
新明路,807
新東街,807
新民段一小段,807
新民段三小段,807
新民段二小段,1093
新民段四小段,617
新民街,63
新民路,254
新洲美段,315
新湖一路,584
新湖三路,378
新湖二路,43
新生北路一段,546
新生北路三段,669
新生北路二段,662
新生南路一段,1106
新生南路三段,671
新生南路二段,359
新興路,483
新豐街,1055
昆明街,483
昆陽街,520
昌吉街,662
明德路,664
明水路,666
明溪街,1055
星雲街,666
晉江街,491
景中街,613
景仁街,666
景後街,741
景文街,43
景明街,112
景福街,638
景美段一小段,755
景美段三小段,587
景美段二小段,682
景美段五小段,143
景美段四小段,211
景美街,788
景興路,415
景華街,0
景豐街,0
景隆街,367
景雲街,8
木新段三小段,118
木新路三段,185
木新路二段,507
木柵段一小段,451
木柵段三小段,37
木柵段二小段,1071
木柵段四小段,59
木柵路,314
木柵路一段,433
木柵路三段,6
木柵路二段,580
木柵路四段,240
朱崙街,692
杏林一路,186
杏林三路,199
杏林二路,64
杭州北路,966
杭州南路一段,1126
杭州南路二段,767
東園街,1134
東寧路,146
東山路,254
東新街,1070
東明街,608
東湖段一小段,1106
東湖段七小段,1055
東湖段五小段,613
東湖段六小段,112
東湖段四小段,112
東湖路,145
東興路,185
東華街一段,168
東華街二段,119
東豐街,764
東陽街,29
松仁路,422
松信路,6
松勇路,1182
松勤街,407
松山路,755
松平路,41
松德路,839
松智路,839
松江路,1118
松河街,188
松隆路,1120
松高路,101
